
------ ******* ------ New Log ------ ******* ------
isTrain: True
net: MLP_CE
isCNN: False
isRandom: False
exp_name: Task1_MLP_CE
batch_size: 32
epoch: 250
milestones: [50, 100]
lr: 0.001
weight_decay: 0.0
reweight: 1.0
dir_root: ./data
task: Task_1
filename: data_1.mat
save_dir: ./experiments
MLP_CE(
  (mlp): Sequential(
    (0): Linear(in_features=779, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=32, bias=True)
    (5): ReLU()
    (6): Linear(in_features=32, out_features=2, bias=True)
  )
)
EPOCH = 034/250, [time] = 2.10s, [Acc 3840-tr]:0.937, [avrg loss] = 0.1669292. [Accu 961-Val]:0.947. Best @ 032, with accu 0.950.
EPOCH = 035/250, [time] = 2.12s, [Acc 3840-tr]:0.923, [avrg loss] = 0.1406194. [Accu 961-Val]:0.926. Best @ 032, with accu 0.950.
EPOCH = 036/250, [time] = 1.98s, [Acc 3840-tr]:0.949, [avrg loss] = 0.1406676. [Accu 961-Val]:0.941. Best @ 032, with accu 0.950.
EPOCH = 037/250, [time] = 2.26s, [Acc 3840-tr]:0.924, [avrg loss] = 0.1447399. [Accu 961-Val]:0.947. Best @ 032, with accu 0.950.
EPOCH = 038/250, [time] = 2.17s, [Acc 3840-tr]:0.930, [avrg loss] = 0.1584112. [Accu 961-Val]:0.939. Best @ 032, with accu 0.950.
EPOCH = 039/250, [time] = 2.25s, [Acc 3840-tr]:0.951, [avrg loss] = 0.1542535. [Accu 961-Val]:0.948. Best @ 032, with accu 0.950.
EPOCH = 040/250, [time] = 2.12s, [Acc 3840-tr]:0.946, [avrg loss] = 0.1436315. [Accu 961-Val]:0.945. Best @ 032, with accu 0.950.
EPOCH = 041/250, [time] = 2.16s, [Acc 3840-tr]:0.960, [avrg loss] = 0.1282828. [Accu 961-Val]:0.955. Best @ 041, with accu 0.955.
EPOCH = 042/250, [time] = 2.22s, [Acc 3840-tr]:0.943, [avrg loss] = 0.1209775. [Accu 961-Val]:0.950. Best @ 041, with accu 0.955.
EPOCH = 043/250, [time] = 2.13s, [Acc 3840-tr]:0.949, [avrg loss] = 0.1336439. [Accu 961-Val]:0.927. Best @ 041, with accu 0.955.
EPOCH = 044/250, [time] = 2.25s, [Acc 3840-tr]:0.954, [avrg loss] = 0.1258613. [Accu 961-Val]:0.950. Best @ 041, with accu 0.955.
EPOCH = 045/250, [time] = 2.15s, [Acc 3840-tr]:0.935, [avrg loss] = 0.1310598. [Accu 961-Val]:0.905. Best @ 041, with accu 0.955.
EPOCH = 046/250, [time] = 2.15s, [Acc 3840-tr]:0.956, [avrg loss] = 0.1274711. [Accu 961-Val]:0.953. Best @ 041, with accu 0.955.
